time,comment
1966-11-06T20:32:00.000Z,service_time
1966-11-13T19:15:00.000Z,service_time
1966-11-17T19:15:00.000Z,service_time
1966-11-24T20:49:00.000Z,service_time
1966-12-01T23:55:00.000Z,service_time
1966-12-09T13:34:00.000Z,service_time
1966-12-17T19:41:00.000Z,service_time
1966-12-18T22:34:00.000Z,service_time
1966-12-25T16:21:00.000Z,service_time
1967-01-02T13:16:00.000Z,service_time
1967-01-09T15:33:00.000Z,service_time
1967-01-14T13:47:00.000Z,service_time
1967-01-14T15:23:00.000Z,service_time
